Id,ApiGameId,SystemId,Title,Genre,CoverURL,Upc,loose-price,cib-price,GameConsoleId,release-date
253,8935,NES,Family Feud,Other,https://server.emulator.games/images/nintendo/family-feud.jpg,,$7.95,$15.30,1,1991-05-01
254,45059,NES,Family Fun Fitness Pad,Controllers,http://image.gamevaluenow.com/nes/family_fun_fitness_pad.jpg,,,,1,1990-01-01
255,12224,NES,Family Fun Fitness Stadium Events,Sports,https://upload.wikimedia.org/wikipedia/en/thumb/7/70/Stadium_Events_cover.jpg/220px-Stadium_Events_cover.jpg,,$4568.14,$11513.20,1,1987-09-01
256,12225,NES,Fantastic Adventures of Dizzy,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/a/a0/Cover-of-the-fantastic-adventures-of-dizzy.jpg,,$10.04,$25.25,1,1993-01-01
257,39521,NES,Fantastic Adventures of Dizzy [Aladdin],Action & Adventure,https://server.emulator.games/images/nintendo/fantastic-adventures-of-dizzy-the.jpg,,$1.07,$2.89,1,1987-01-01
258,12226,NES,Fantasy Zone,Action & Adventure,https://static.giantbomb.com/uploads/scale_small/0/3413/214159-fantasy_zone.jpg,,$20.07,$31.99,1,1989-01-01
259,8939,NES,Faria,RPG,https://upload.wikimedia.org/wikipedia/en/5/58/Faria_cover.jpg,,$75.00,$113.55,1,1991-06-01
260,13717,NES,Faxanadu,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/thumb/5/57/Faxanadu_NES_US_box.jpg/200px-Faxanadu_NES_US_box.jpg,,$6.58,$25.47,1,1989-08-01
261,8948,NES,Felix the Cat,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/thumb/a/a9/FelixNESBoxart.JPG/220px-FelixNESBoxart.JPG,,$56.47,$190.18,1,1992-10-01
262,8949,NES,Ferrari Grand Prix Challenge,Racing,https://www.mobygames.com/images/covers/l/154784-ferrari-grand-prix-challenge-nes-front-cover.jpg,,$7.99,$20.13,1,1992-06-01
263,8950,NES,Fester's Quest,Action & Adventure,https://www.mobygames.com/images/covers/l/163627-fester-s-quest-nes-front-cover.jpg,,$5.55,$16.99,1,1989-09-01
264,8970,NES,Final Fantasy,RPG,https://upload.wikimedia.org/wikipedia/en/thumb/d/d8/FF1_USA_boxart.jpg/220px-FF1_USA_boxart.jpg,,$15.65,$59.99,1,1990-05-01
265,8975,NES,Fire 'N Ice,Puzzle,https://upload.wikimedia.org/wikipedia/en/thumb/7/7d/Fire_%27n_Ice_Cover.jpg/220px-Fire_%27n_Ice_Cover.jpg,,$127.96,$260.85,1,1993-03-01
266,12229,NES,Firehawk,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/FirehawkNES.jpg/250px-FirehawkNES.jpg,,$10.12,$27.24,1,1991-01-01
267,12230,NES,Fisher Price I Can Remember,Other,https://www.mobygames.com/images/covers/l/175579-fisher-price-i-can-remember-nes-front-cover.jpg,,$7.36,$19.71,1,1990-03-01
268,12231,NES,Fisher Price Perfect Fit,Other,https://www.mobygames.com/images/covers/l/175380-fisher-price-perfect-fit-nes-front-cover.jpg,,$9.99,$28.37,1,1990-03-01
269,8976,NES,Fisher-Price Firehouse Rescue,Action & Adventure,https://cdn.thegamesdb.net/images/original/boxart/front/2382-1.jpg,,$17.97,$43.30,1,1992-03-01
270,12232,NES,Fist of the North Star,Fighting,https://upload.wikimedia.org/wikipedia/en/thumb/e/e2/Fist_of_the_North_Star_Coverart.png/220px-Fist_of_the_North_Star_Coverart.png,,$11.93,$40.50,1,1989-04-01
271,8981,NES,Flight of the Intruder,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/Flight_of_the_Intruder_Cover.jpg/220px-Flight_of_the_Intruder_Cover.jpg,,$6.78,$17.49,1,1991-05-01
272,13107,NES,Flintstones Surprise at Dinosaur Peak,Action & Adventure,https://server.emulator.games/images/nintendo/flintstones-2-the-surprise-at-dinosaur-peak-the.jpg,,$787.79,$2561.78,1,1994-08-01
273,8983,NES,Flintstones The Rescue of Dino and Hoppy,Action & Adventure,https://www.mobygames.com/images/covers/l/64858-the-flintstones-the-rescue-of-dino-hoppy-nes-front-cover.jpg,,$12.62,$47.36,1,1991-12-01
